representation,max_depth,min_samples_split,min_samples_leaf,max_features,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2
descriptors,20.0,5,4,sqrt,0.5024254770513064,0.36471814071566827,0.9423387934499421,0.7798666992802163,0.594344210777437,0.8370411681152654
descriptors,,2,4,sqrt,0.5024254770513064,0.36471814071566827,0.9423387934499421,0.7798666992802166,0.594344210777437,0.8370411681152654
descriptors,,5,4,sqrt,0.5024254770513064,0.36471814071566827,0.9423387934499421,0.7798666992802167,0.5943442107774369,0.8370411681152653
descriptors,10.0,2,2,sqrt,0.4063036155210756,0.3008378704719025,0.9622912798533967,0.7800000201375247,0.5973488421508268,0.8369854466227502
descriptors,10.0,2,4,sqrt,0.5054607724316142,0.36803617223368673,0.9416399934444919,0.7803965641963473,0.5959699650464974,0.8368196546156835
descriptors,10.0,5,4,sqrt,0.5054607724316142,0.36803617223368673,0.9416399934444919,0.7803965641963474,0.5959699650464971,0.8368196546156835
descriptors,20.0,2,2,0.5,0.3618512572056316,0.25956816524244636,0.9700910896953111,0.7889462995983323,0.6059089218324748,0.8332245820422093
descriptors,,2,2,0.5,0.36188694127606663,0.2596107872967934,0.9700851904520981,0.7890192455637189,0.6059715372995903,0.8331937405101881
descriptors,10.0,2,2,0.5,0.38284916172906996,0.27880641055330496,0.9665192005380081,0.7890316988993703,0.6042891929722445,0.8331884749586995
descriptors,20.0,2,1,0.5,0.2701378325971035,0.19620155475824028,0.9833309349766248,0.7891530574101295,0.5957630140206149,0.8331371574891532
descriptors,10.0,5,1,0.5,0.35901376771742866,0.26887761590977083,0.9705583174516363,0.7902019061682121,0.6056388897370806,0.8326933140867744
descriptors,,2,1,0.5,0.27036754916552813,0.19623581310001706,0.983302573243824,0.7915381775163162,0.5973528063208071,0.832126987529872
descriptors,20.0,5,2,0.5,0.3759031167857067,0.2686206007241399,0.9677230661686175,0.7915973427117753,0.6089687556728038,0.8321018905450888
descriptors,,5,2,0.5,0.3759031167857068,0.26862060072413996,0.9677230661686175,0.7915973427117754,0.6089687556728038,0.8321018905450887
descriptors,10.0,2,4,0.5,0.47696212203769506,0.34235098886986887,0.9480353268015086,0.7922548715207808,0.6073969532991823,0.8318228504620415
descriptors,10.0,5,4,0.5,0.47696212203769506,0.34235098886986887,0.9480353268015086,0.7922548715207809,0.6073969532991823,0.8318228504620415
descriptors,,5,4,0.5,0.47442557940088265,0.3394244865666108,0.9485865660327514,0.7929606697622613,0.6090312890526198,0.8315230681228465
descriptors,,2,4,0.5,0.4744255794008827,0.33942448656661084,0.9485865660327514,0.7929606697622614,0.6090312890526196,0.8315230681228465
descriptors,20.0,2,4,0.5,0.47442557940088265,0.33942448656661084,0.9485865660327514,0.7929606697622615,0.6090312890526195,0.8315230681228465
descriptors,20.0,5,4,0.5,0.47442557940088265,0.33942448656661084,0.9485865660327514,0.7929606697622616,0.6090312890526199,0.8315230681228465
